1000000,32839,3308,4294
2000000,48890,5929,8010
3000000,65424,9100,12301
4000000,77743,11631,15982
5000000,87478,14605,20142
6000000,98510,17431,24118
7000000,109208,20481,28308
8000000,126323,22955,32018
9000000,132255,25644,35922
10000000,143768,29020,40495
11000000,153260,31634,44296
12000000,168643,34239,48178
13000000,175387,36896,52013
14000000,180590,39723,56105
15000000,194416,42682,60180
16000000,206637,45180,63938
17000000,225866,57567,78029
18000000,231346,50419,71973
19000000,244474,53553,76452
20000000,279827,55010,79175
